,地区,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1, 全  国,132129.0,132802.0,133450.0,134091.0,134735.0,135404.0,136072.0,136782.0,137462.0,138271.0,139008.0,139538.0
2, 北  京,1676.0,1771.0,1860.0,1961.9,2018.6,2069.3,2114.8,2151.6,2170.5,2173.0,2170.7,2154.0
3, 天  津,1115.0,1176.0,1228.16,1299.29,1354.58,1413.15,1472.21,1516.81,1546.95,1562.0,1557.0,1560.0
4, 河  北,6943.19,6988.82,7034.4,7193.6,7240.51,7287.51,7332.61,7383.75,7424.92,7470.0,7519.52,7556.0
5, 山  西,3392.58,3410.64,3427.36,3574.11,3593.28,3610.83,3629.8,3647.96,3664.12,3682.0,3702.0,3718.0
6, 内蒙古,2428.83,2444.33,2458.22,2472.18,2481.71,2489.85,2497.61,2504.81,2511.04,2520.0,2529.0,2534.0
7, 辽  宁,4298.0,4315.0,4341.0,4375.0,4383.0,4389.0,4390.0,4391.0,4382.4,4378.0,4369.0,4359.0
8, 吉  林,2729.82,2734.21,2739.55,2746.6,2749.41,2750.4,2751.28,2752.38,2753.32,2733.0,2717.0,2704.0
9, 黑龙江,3824.03,3825.04,3826.01,3833.35,3834.01,3834.04,3835.02,3833.0,3811.7,3799.0,3788.7,3773.0
10, 上  海,2063.59217829501,2140.6434637898,2210.28412774259,2302.66,2347.46,2380.43,2415.15,2425.68,2415.27,2420.0,2418.0,2424.0
11, 江  苏,7723.128000000001,7762.482,7810.269,7869.34,7898.80066823418,7919.98,7939.49,7960.06,7976.3,7999.0,8029.3,8051.0
12, 浙  江,5154.9,5212.4,5275.5,5446.51,5463.0,5477.0,5498.0,5508.0,5539.0,5590.0,5657.0,5737.0
13, 安  徽,6118.0,6135.0,6131.0,5956.7,5968.0,5988.0,6029.8,6082.9,6143.6,6196.0,6255.0,6324.0
14, 福  建,3612.0,3639.0,3666.0,3693.0,3720.0,3748.0,3774.0,3806.0,3839.0,3874.0,3911.0,3941.0
15, 江  西,4368.4125,4400.1038,4432.1581,4462.2489,4488.4367,4503.9321,4522.15,4542.16,4565.63,4592.0,4622.0,4648.0
16, 山  东,9366.97,9417.23,9470.3,9587.87,9637.27,9684.87,9733.39,9789.43,9847.16,9947.0,10005.83,10047.0
17, 河  南,9360.0,9429.0,9487.05,9405.47,9388.24,9406.2,9413.35,9436.0,9480.0,9532.0,9559.13,9605.0
18, 湖  北,5699.0,5711.0,5720.0,5727.9143,5758.0,5779.0,5799.0,5816.0,5851.5,5885.0,5902.0,5917.0
19, 湖  南,6355.0,6380.0,6406.0,6570.1,6595.6,6638.93,6690.6,6737.24,6783.03,6822.0,6860.15,6899.0
20, 广  东,9659.52,9893.48,10130.185462863636,10440.94,10505.0,10594.0,10644.0,10724.0,10849.0,10999.0,11169.0,11346.0
21, 广  西,4768.0,4816.0,4856.0,4610.0,4645.0,4682.0,4719.0,4754.0,4796.0,4838.0,4885.0,4926.0
22, 海  南,845.03,854.18,864.07,868.55,877.38,886.55,895.28,903.48,910.82,917.0,926.0,934.0
23, 重  庆,2816.0,2839.0,2859.0,2884.62,2919.0,2945.0,2970.0,2991.4,3016.55,3048.0,3075.16,3102.0
24, 四  川,8127.0,8138.0,8185.0,8044.92,8050.0,8076.2,8107.0,8140.2,8204.0,8262.0,8302.0,8341.0
25, 贵  州,3631.98,3595.98,3537.0,3479.0,3469.0,3484.07,3502.22,3508.04,3529.5,3555.0,3580.0,3600.0
26, 云  南,4514.0,4543.0,4571.0,4601.6,4631.0,4659.0,4686.6,4713.9,4741.8,4771.0,4800.5,4830.0
27, 西  藏,288.83,292.33,295.84,300.22,303.3,307.62,312.04,317.55,323.97,331.0,337.0,344.0
28, 陕  西,3708.0,3718.0,3727.0,3735.0,3743.0,3753.0,3764.0,3775.12,3793.0,3813.0,3835.0,3864.0
29, 甘  肃,2548.19,2550.88,2554.91,2559.98,2564.19,2577.55,2582.18,2590.78,2599.55,2610.0,2626.0,2637.0
30, 青  海,551.6,554.3,557.3,563.47,568.17,573.17,577.79,583.42,588.43,593.0,598.0,603.0
31, 宁  夏,610.25,617.69,625.2,632.96,639.45,647.19,654.19,661.54,667.88,675.0,682.0,688.0
32, 新  疆,2095.19,2130.81,2158.63,2185.0,2208.71,2232.78,2264.3,2298.47,2359.73,2398.0,2445.0,2487.0
