地区,2013,2014,2015,2016,2017,2018
地  区,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
 全  国,18310.757342184595,20167.12364871583,21966.18524686261,23820.975412,25973.78748737746,28228.048599732287
 北  京,40830.042091476724,44488.567591950945,48457.98546491977,52530.377768,57229.8322153316,62361.215756247715
 天  津,26359.2037211364,28832.2861587767,31291.360557949312,34074.455235,37022.32921070929,39506.14688339221
 河  北,15189.64066304909,16647.395328025217,18118.085095806313,19725.417411,21484.126671226,23445.653314421827
 山  西,15119.71887551109,16538.316359978013,17853.6745417593,19048.883299,20420.006046573864,21990.137637705466
 内蒙古,18692.893963052167,20559.342141022968,22310.085906906126,24126.640447,26212.22795688323,28375.654267222842
 辽  宁,20817.84182043044,22820.153528665083,24575.57992234046,26039.695888,27835.44291970184,29701.44776159694
 吉  林,15998.115527162636,17520.39351424874,18683.7,19966.988443,21368.322227291486,22798.371637631048
 黑龙江,15903.446591254853,17404.39299388505,18592.654761926173,19838.495209,21205.78971419814,22725.848903864873
 上  海,42173.63900069217,45965.828278394976,49867.16628267467,54305.347144,58987.955771173416,64182.64535487936
 江  苏,24775.537765411373,27172.76535457701,29538.852900665028,32070.102747,35024.091972322305,38095.79327500714
 浙  江,29774.98876982289,32657.569183344047,35537.09032546934,38529.001073,42045.69380500254,45839.84331881395
 安  徽,15154.31488119506,16795.51858417071,18362.571624111988,19998.100166,21863.30386931419,23983.58322341958
 福  建,21217.94740259997,23330.851168840283,25404.36106777835,27607.934949,30047.747044818014,32643.930678332865
 江  西,15099.684515800995,16734.17105757712,18437.110227228277,20109.555967,22031.44832635033,24079.678040645056
 山  东,19008.26095660755,20864.213412090252,22703.192329813308,24685.267708,26929.943239318152,29204.614898422402
 河  南,14203.71437115998,15695.175584696306,17124.752860028013,18443.075523,20170.026029157056,21963.535550165652
 湖  北,16472.460720750245,18283.228212429225,20025.559243876123,21786.644589,23757.1689582919,25814.54276345658
 湖  南,16004.8967028159,17621.742894251853,19317.486423472405,21114.791168,23102.71086516672,25240.74922945162
 广  东,23420.748848741878,25684.956753013947,27858.856981725286,30295.804756,33003.28516095383,35809.900845464625
 广  西,14082.303471052966,15557.080750641933,16873.42218006715,18305.081627,19904.757633881127,21485.027666743037
 海  南,15733.277050909142,17476.45548647675,18978.96896379741,20653.443604,22553.237776656282,24579.038941864255
 重  庆,16568.674720671344,18351.90431553283,20110.1056637941,22034.143137,24152.988214068213,26385.835606493158
 四  川,14230.993758334007,15749.011018500421,17220.955174791,18808.255983,20579.818254947488,22460.550749928127
 贵  州,11083.056555796098,12371.063534711902,13696.612212822782,15121.148305,16703.648276471205,18430.182483127635
 云  南,12577.871659326021,13772.208994761842,15222.571579304347,16719.903549,18348.34420727736,20084.1918915471
 西  藏,9740.43,10730.215737516166,12254.295480458948,13639.238539,15457.299313800659,17286.062595072
 陕  西,14371.548683535042,15836.747580999188,17394.976407896083,18873.739061,20635.208650639262,22528.25533997745
 甘  肃,10954.397571675318,12184.713859902435,13466.587729762015,14670.314044,16010.999703512702,17488.39344060749
 青  海,12947.840291050365,14373.984369101647,15812.70139017727,17301.764825,19001.022322837725,20757.255882529607
 宁  夏,14565.781703897524,15906.784591596826,17329.0939195435,18832.276292,20561.66316094366,22400.41992537536
 新  疆,13669.618091614337,15096.62093489658,16859.11462356391,18354.652778,19975.09801407443,21500.240652423476
