地区,发展指数2017,发展指数19年版,创新指数2017,创新指数19年版,绿色指数2017,绿色指数19年版,综合指数2017,综合指数19年版
全国,5.51,5.51,3.31,3.24,8.51,8.59,5.62,5.62
北京,10.0,10.0,10.0,10.0,9.93,10.0,10.0,10.0
天津,5.75,5.63,3.39,3.17,8.69,8.97,5.81,5.74
河北,5.24,5.33,2.51,2.3,7.67,7.76,5.1,5.11
山西,4.94,4.86,1.62,1.59,8.4,8.46,4.88,4.83
内蒙古,4.8,4.7,1.77,1.76,8.24,8.37,4.8,4.76
辽宁,5.51,5.58,3.06,2.67,8.79,8.89,5.61,5.58
吉林,5.29,5.24,3.0,2.54,8.58,8.58,5.44,5.29
黑龙江,5.27,5.27,2.8,2.75,8.14,8.25,5.29,5.29
上海,7.57,7.75,5.66,6.28,10.0,9.9,7.63,7.85
江苏,6.94,7.02,6.4,6.41,9.33,9.35,7.33,7.36
浙江,5.92,5.92,5.06,4.93,9.08,9.18,6.39,6.37
安徽,5.26,5.24,3.91,3.68,8.42,8.5,5.61,5.55
福建,5.25,5.23,3.71,3.96,8.68,8.79,5.61,5.67
江西,4.97,4.96,2.5,2.38,8.28,8.49,5.08,5.08
山东,6.06,6.16,3.88,4.26,8.67,8.68,6.09,6.23
河南,5.73,5.8,2.62,2.51,8.03,8.12,5.47,5.5
湖北,5.89,5.85,4.11,3.9,8.93,8.92,6.11,6.03
湖南,5.24,5.28,3.31,3.35,7.95,7.96,5.35,5.38
广东,6.6,6.69,4.55,4.43,9.29,9.33,6.68,6.7
广西,4.87,4.93,2.84,2.83,8.19,8.41,5.08,5.16
海南,4.54,4.49,1.96,1.79,8.46,8.41,4.75,4.66
重庆,5.08,5.07,2.8,3.0,8.87,8.92,5.34,5.38
四川,5.85,5.82,3.5,3.87,8.51,8.53,5.85,5.92
贵州,4.75,4.75,2.16,2.06,8.38,8.41,4.9,4.87
云南,4.7,4.72,2.09,1.95,8.43,8.54,4.86,4.86
西藏,4.76,4.66,1.15,1.07,6.88,6.99,4.34,4.29
陕西,5.94,5.93,4.64,3.86,8.31,8.42,6.13,5.96
甘肃,4.65,4.62,2.16,2.23,8.04,8.18,4.77,4.79
青海,4.35,4.28,1.42,1.36,7.84,7.95,4.38,4.35
宁夏,4.42,4.36,1.78,1.68,7.99,8.24,4.54,4.53
新疆,4.75,4.64,2.16,2.02,8.68,8.69,4.96,4.86
